date,installed_capacity,supply_capacity,full_power
2004-07-01,57328,52398,44998
2004-07-02,57328,52412,44135
2004-07-03,57328,51163,42381
2004-07-04,57328,52470,36176
2004-07-05,57328,53796,43834
2004-07-06,57328,53881,45705
2004-07-07,57328,54265,43965
2004-07-08,57328,54089,43850
2004-07-09,57328,54225,44954
2004-07-10,57328,53836,41626
2004-07-11,57328,53203,37054
2004-07-12,58129,54225,45145
2004-07-13,58129,53963,44875
2004-07-14,58129,54488,45286
2004-07-15,58129,54458,45245
2004-07-16,58129,53774,46023
2004-07-17,58129,53912,39544
2004-07-18,58129,54132,38551
2004-07-19,58129,56442,46608
2004-07-20,58129,56442,47511
2004-07-21,58129,56822,48880
2004-07-22,58129,57487,49704
2004-07-23,58129,57254,50167
2004-07-24,58129,56728,46076
2004-07-25,58129,56294,39760
2004-07-26,58129,55869,48756
2004-07-27,58129,55960,49736
2004-07-28,58129,57052,51227
2004-07-29,59129,57528,51264
2004-07-30,59129,57178,50759
2004-07-31,59129,56451,44749
2004-08-01,59129,56561,39349
2004-08-02,59129,58135,43118
2004-08-03,59129,58077,43888
2004-08-04,59129,58077,45731
2004-08-05,59129,57087,47392
2004-08-06,59129,58077,48856
2004-08-07,59129,57132,46279
2004-08-08,59129,57132,41690
2004-08-09,59129,58021,49819
2004-08-10,59129,58029,50795
2004-08-11,59129,58357,50100
2004-08-12,59129,58541,50487
2004-08-13,59129,58392,51184
2004-08-14,59129,57965,46073
2004-08-15,59129,57835,39399
2004-08-16,59129,58677,48001
2004-08-17,59129,58307,48673
2004-08-18,59129,58318,47295
2004-08-19,59129,58318,43971
2004-08-20,59129,58089,44228
2004-08-21,59129,58089,41450
2004-08-22,59129,58318,36519
2004-08-23,59129,58240,43413
2004-08-24,59129,58469,44796
2004-08-25,59129,58399,45348
2004-08-26,59129,58380,45207
2004-08-27,59129,58271,45653
2004-08-29,59129,57921,38850
2004-08-30,59129,57664,46686
2004-08-31,59129,58260,47045
2004-09-01,59129,55249,46594
2004-09-02,59129,54553,46060
2004-09-03,59129,54110,45438
2004-09-04,59129,53939,42686
2004-09-05,59129,53782,38145
2004-09-06,59129,53682,45493
2004-09-07,59129,53691,43830
2004-09-08,59129,53691,44370
2004-09-09,59129,53571,44583
2004-09-10,59129,53313,43683
2004-09-11,59129,51126,39784
2004-09-12,59129,52080,37337
2004-09-13,59129,52297,44751
2004-09-14,59129,52686,45342
2004-09-15,59129,53107,45571
2004-09-16,59129,53597,46177
2004-09-17,59129,53257,46566
2004-09-18,59129,52943,42709
2004-09-19,59129,52839,37165
2004-09-20,59129,53041,43493
2004-09-21,59129,53852,43588
2004-09-22,59129,53605,43231
2004-09-23,59129,53437,43671
2004-09-24,59129,53688,42841
2004-09-25,59129,52915,37974
2004-09-26,59129,52870,34265
2004-09-27,59129,52870,30354
2004-09-28,59129,52870,28783
2004-09-29,59129,54418,31357
2004-09-30,59129,53953,37811
2004-10-01,59129,51843,41007
2004-10-02,59129,50744,39098
2004-10-03,59129,50687,37159
2004-10-04,59129,50182,42683
2004-10-05,59129,50566,43035
2004-10-06,59129,49988,42689
2004-10-07,59129,49988,43244
2004-10-08,59129,50617,43098
2004-10-09,59129,50319,39498
2004-10-10,59129,50444,36952
2004-10-11,59129,50862,43191
2004-10-12,59129,50815,42769
2004-10-13,59129,50837,42573
2004-10-14,59129,50758,43089
2004-10-15,59129,51869,42771
2004-10-16,59129,51225,40224
2004-10-17,59129,51269,37717
2004-10-18,59129,51269,43027
2004-10-19,59129,50815,43532
2004-10-20,59129,51799,43037
2004-10-21,59129,51919,43757
2004-10-22,59129,52077,43106
2004-10-23,59129,51834,40868
2004-10-24,59129,51834,38251
2004-10-25,59129,51987,43891
2004-10-26,59129,51556,44272
2004-10-27,59129,51534,43601
2004-10-28,59129,51858,43869
2004-10-29,59129,51913,43129
2004-10-30,59129,51647,40659
2004-10-31,59129,51698,38285
2004-11-01,59129,52432,43655
2004-11-02,59129,52432,44409
2004-11-03,59129,53290,44226
2004-11-04,59129,53313,44401
2004-11-05,59129,52913,44047
2004-11-06,59129,53444,41418
2004-11-07,59129,53326,38822
2004-11-08,59129,53663,44661
2004-11-09,59129,53021,44231
2004-11-10,59129,52840,44065
2004-11-11,59129,53114,44330
2004-11-12,59129,53097,44745
2004-11-13,59129,53717,42256
2004-11-14,59129,53456,39781
2004-11-15,59129,53817,45572
2004-11-16,59129,53865,45322
2004-11-17,59129,53865,45340
2004-11-18,59129,54789,45183
2004-11-19,59129,54789,45062
2004-11-20,59129,55848,42809
2004-11-21,59129,55934,40224
2004-11-22,59129,56784,45445
