date,average_temperature,highest_temperature,lowest_temperature,precipitation,average_wind_speed,max_wind_speed,average_humidity,lowest_humidity
2000-01-01,5.5,9.9,1.8,0.0,2.3,4.0,63.5,46.0
2000-01-02,4.2,6.9,-0.9,6.0,3.6,7.6,74.3,57.0
2000-01-03,-2.2,0.1,-4.6,0.0,2.7,5.9,54.1,35.0
2000-01-04,0.3,4.3,-4.3,0.0,1.7,3.0,48.6,30.0
2000-01-05,2.8,4.6,0.1,18.4,3.2,5.2,83.6,44.0
2000-01-06,1.7,5.7,-4.2,9.8,3.5,6.9,78.9,45.0
2000-01-07,-8.2,-4.2,-12.1,0.0,2.5,7.2,50.9,38.0
2000-01-08,-3.8,-0.1,-7.2,0.5,2.0,4.8,73.5,52.0
2000-01-09,-1.9,1.0,-6.0,0.0,1.6,3.9,63.5,50.0
2000-01-10,-0.8,2.3,-4.8,0.1,2.8,5.5,63.3,41.0
2000-01-11,-0.2,4.9,-7.1,0.0,2.3,4.4,57.9,39.0
2000-01-12,3.7,5.1,2.6,3.9,2.9,4.9,81.8,57.0
2000-01-13,0.7,4.0,-2.1,1.7,3.0,5.3,83.8,72.0
2000-01-14,-1.4,1.1,-2.6,0.0,2.5,4.2,68.6,63.0
2000-01-15,-1.1,3.3,-4.9,0.0,1.5,3.3,64.8,45.0
2000-01-16,0.2,4.5,-2.2,0.0,1.9,5.6,65.6,42.0
2000-01-17,-0.9,3.8,-4.4,0.0,1.9,4.3,70.5,52.0
2000-01-18,-1.8,2.3,-5.1,0.0,2.0,4.5,65.5,35.0
2000-01-19,-4.7,-1.2,-7.5,0.8,3.3,7.0,71.1,55.0
2000-01-20,-8.5,-5.4,-11.4,0.0,3.9,6.3,55.5,39.0
2000-01-21,-7.0,-2.6,-11.6,0.0,1.7,4.7,51.5,31.0
2000-01-22,-2.5,1.6,-6.7,1.2,2.2,3.8,62.8,30.0
2000-01-23,2.4,7.4,-1.1,0.4,2.0,4.7,72.8,46.0
2000-01-24,-2.9,0.2,-6.5,0.0,3.4,5.6,61.3,44.0
2000-01-25,-7.5,-2.9,-10.6,0.0,3.5,5.6,45.8,28.0
2000-01-26,-8.3,-4.5,-11.2,0.0,2.9,5.4,48.9,35.0
2000-01-27,-5.9,-0.8,-11.2,0.0,1.9,4.8,51.6,30.0
2000-01-28,-3.4,2.5,-8.7,0.0,1.8,4.3,60.6,35.0
2000-01-29,-0.3,2.7,-4.1,0.0,2.0,4.2,71.4,52.0
2000-01-30,-4.3,1.0,-8.1,0.0,4.5,7.4,58.6,43.0
2000-01-31,-7.8,-4.7,-10.7,0.0,3.0,5.4,49.0,33.0
2000-02-01,-6.6,-2.0,-11.6,0.0,2.0,4.6,55.0,28.0
2000-02-02,-3.8,0.8,-8.8,0.0,2.2,5.0,66.3,43.0
2000-02-03,-1.8,2.0,-4.3,0.0,2.1,6.8,69.9,46.0
2000-02-04,-2.0,3.7,-7.1,0.0,1.3,4.2,56.9,34.0
2000-02-05,-0.5,4.1,-5.9,0.5,1.7,4.7,66.3,40.0
2000-02-06,-0.1,2.3,-1.3,0.7,2.6,5.8,83.4,59.0
2000-02-07,-1.6,1.7,-5.3,0.0,2.7,6.2,68.1,49.0
2000-02-08,-6.9,-4.4,-9.4,0.0,4.0,6.4,51.4,39.0
2000-02-09,-5.2,-0.8,-9.5,0.0,2.6,5.2,43.8,27.0
2000-02-10,-2.2,3.1,-8.8,0.0,2.0,4.5,49.0,29.0
2000-02-11,1.6,5.3,-1.0,0.0,2.4,5.7,67.0,39.0
2000-02-12,2.1,6.1,-1.5,0.0,1.3,3.9,76.4,53.0
2000-02-13,2.5,6.5,-2.2,0.0,1.8,4.3,77.3,42.0
2000-02-14,-0.3,3.5,-4.3,0.9,4.1,8.2,58.8,31.0
2000-02-15,-5.4,-2.0,-7.8,0.0,4.7,8.3,42.3,30.0
2000-02-16,-4.6,-0.2,-8.1,0.0,3.7,6.6,43.8,30.0
2000-02-17,-3.9,0.4,-8.4,0.0,2.9,6.1,47.1,28.0
2000-02-18,-2.1,3.1,-7.5,0.0,2.1,5.5,41.8,28.0
2000-02-19,1.7,7.5,-3.7,0.0,2.0,4.6,44.3,29.0
2000-02-20,-0.7,4.2,-4.3,0.0,3.6,6.3,57.0,32.0
2000-02-21,-1.7,3.1,-5.6,0.0,3.1,6.3,44.6,29.0
2000-02-22,-0.6,4.6,-5.6,0.0,2.2,5.2,48.3,30.0
2000-02-23,0.6,4.4,-2.9,0.0,2.6,6.1,58.8,40.0
2000-02-24,-3.2,1.0,-6.5,0.0,3.5,6.6,41.9,30.0
2000-02-25,-2.0,2.0,-6.9,0.0,2.1,4.6,46.3,33.0
2000-02-26,0.5,3.7,-2.4,0.0,2.7,5.9,60.9,36.0
2000-02-27,1.8,6.2,-3.6,0.0,4.0,10.6,59.1,41.0
2000-02-28,-2.8,1.1,-6.1,0.0,3.8,7.0,37.0,28.0
2000-02-29,-1.2,4.4,-6.7,0.0,2.7,5.3,52.9,32.0
2000-03-01,2.3,7.7,-3.2,0.0,2.1,5.0,74.4,46.0
2000-03-02,5.3,11.2,1.7,0.0,1.5,4.8,65.9,36.0
2000-03-03,8.8,17.2,1.2,0.0,2.2,6.3,46.5,24.0
2000-03-04,8.1,12.9,4.7,0.0,2.8,5.5,56.5,38.0
2000-03-05,5.5,10.5,1.4,0.0,1.9,4.4,49.9,36.0
2000-03-06,2.7,6.8,-1.6,0.0,3.6,7.9,58.6,39.0
2000-03-07,-1.7,2.2,-4.5,0.0,4.3,7.6,40.6,38.0
2000-03-08,-0.8,3.9,-4.8,0.0,3.6,7.1,51.3,40.0
2000-03-09,1.1,5.7,-4.6,0.0,3.1,8.3,42.1,31.0
2000-03-10,3.6,9.2,-3.5,0.0,2.7,6.4,60.8,39.0
2000-03-11,5.2,7.0,3.6,0.0,1.5,4.2,79.0,60.0
2000-03-12,3.9,10.4,0.7,0.0,2.4,7.5,78.6,42.0
2000-03-13,4.7,10.4,-0.5,0.0,2.4,4.5,52.5,27.0
2000-03-14,6.2,11.7,1.5,0.0,2.5,5.9,37.5,26.0
2000-03-15,7.8,13.8,1.0,0.0,2.1,5.5,47.0,27.0
2000-03-16,5.6,9.3,3.6,0.1,3.4,7.0,62.6,31.0
2000-03-17,7.5,13.4,1.6,0.0,3.3,7.9,56.3,26.0
